customer_id,age,gender,country,signup_date,subscription_status,cancellations_count,purchase_frequency,rating
CUST1000,39,Female,Canada,2021-07-01,active,0,37,4.2
CUST1001,61,Female,USA,2020-10-19,active,0,35,4.0
CUST1002,26,Female,Pakistan,2023-10-06,cancelled,3,44,3.9
CUST1003,54,Male,India,2023-07-30,paused,4,1,4.2
CUST1004,50,Male,India,2020-09-12,active,0,35,4.2
CUST1005,46,Male,Pakistan,2023-05-16,active,2,16,3.9
CUST1006,29,Female,Germany,2023-10-04,active,1,7,4.1
CUST1007,24,Female,UK,2022-11-07,active,2,34,4.3
CUST1008,53,Female,Pakistan,2021-04-25,paused,4,32,4.2
CUST1009,38,Male,Germany,2021-09-12,active,2,6,4.0
CUST1010,41,Female,UK,2020-04-10,active,2,38,4.3
CUST1011,24,Female,Canada,2022-12-02,active,1,24,4.2
CUST1012,39,Female,Canada,2020-12-20,active,2,36,4.4
CUST1013,61,Female,USA,2021-02-19,active,3,5,4.2
CUST1014,64,Female,UK,2021-02-27,active,1,20,4.1
CUST1015,28,Female,UK,2021-12-31,cancelled,5,27,4.4
CUST1016,34,Female,USA,2021-06-07,active,1,31,4.2
CUST1017,22,Male,Pakistan,2021-09-14,cancelled,0,18,4.0
CUST1018,42,Male,USA,2023-05-25,paused,5,14,4.1
CUST1019,51,Female,India,2022-09-14,paused,0,41,4.3
CUST1020,64,Female,Canada,2022-03-13,active,4,2,4.5
CUST1021,52,Male,Germany,2021-02-02,paused,1,9,3.7
CUST1022,28,Female,Germany,2022-09-06,active,2,39,4.3
CUST1023,25,Male,Germany,2021-04-05,active,5,16,4.0
CUST1024,45,Male,Germany,2022-04-14,active,2,20,4.3
CUST1025,49,Male,India,2021-07-11,cancelled,3,40,4.2
CUST1026,27,Male,Germany,2023-05-15,paused,0,28,4.2
CUST1027,69,Male,Pakistan,2021-03-23,cancelled,4,42,4.0
CUST1028,66,Male,India,2021-02-06,active,1,45,4.4
CUST1029,43,Female,Canada,2020-08-22,cancelled,3,14,4.3
CUST1030,18,Male,Germany,2021-04-19,active,5,24,4.5
CUST1031,37,Male,Canada,2021-08-19,paused,4,9,4.0
CUST1032,52,Female,Germany,2021-09-02,cancelled,0,26,4.3
CUST1033,50,Male,Canada,2022-03-25,active,5,29,4.3
CUST1034,49,Female,UK,2021-02-26,active,5,12,3.9
CUST1035,48,Female,India,2021-11-07,active,3,24,3.9
CUST1036,42,Male,UK,2023-03-08,paused,0,13,4.4
CUST1037,66,Male,India,2023-03-25,active,3,48,4.0
CUST1038,25,Female,Pakistan,2022-02-17,paused,3,11,4.2
CUST1039,40,Female,India,2022-04-12,active,5,47,4.2
CUST1040,31,Male,USA,2023-08-05,active,3,45,4.5
CUST1041,55,Female,Pakistan,2022-07-19,active,5,5,4.3
CUST1042,57,Other,Germany,2023-05-23,paused,4,36,4.2
