order_id,customer_id,product_id,order_date,quantity,unit_price,line_total
ORD5000,CUST1000,PROD200,2023-02-21,5,78.21,391.05
ORD5001,CUST1001,PROD201,2021-08-12,8,64.02,512.16
ORD5002,CUST1002,PROD202,2023-04-09,2,604.14,1208.28
ORD5003,CUST1003,PROD203,2024-02-20,4,84.66,338.64
ORD5004,CUST1004,PROD204,2024-09-14,7,62.66,438.62
ORD5005,CUST1005,PROD205,2025-08-13,8,221.61,1772.88
ORD5006,CUST1006,PROD206,2025-07-15,4,175.74,702.96
ORD5007,CUST1007,PROD207,2024-12-31,5,9.56,47.8
ORD5008,CUST1008,PROD208,2024-12-26,1,1525.8,1525.8
ORD5009,CUST1009,PROD209,2024-11-29,4,337.24,1348.96
ORD5010,CUST1010,PROD210,2022-02-08,6,203.05,1218.3
ORD5011,CUST1011,PROD211,2025-12-03,1,940.17,940.17
ORD5012,CUST1012,PROD212,2023-01-16,9,168.79,1519.11
ORD5013,CUST1013,PROD213,2024-09-12,8,236.77,1894.16
ORD5014,CUST1014,PROD214,2025-04-24,6,130.32,781.92
ORD5015,CUST1015,PROD215,2023-11-15,3,333.99,1001.97
ORD5016,CUST1016,PROD216,2025-02-08,1,1875.08,1875.08
ORD5017,CUST1017,PROD217,2024-04-08,6,211.24,1267.44
ORD5018,CUST1018,PROD218,2025-09-01,1,1702.39,1702.39
ORD5019,CUST1019,PROD219,2025-08-13,8,199.58,1596.64
ORD5020,CUST1020,PROD220,2024-01-23,6,242.03,1452.18
ORD5021,CUST1021,PROD221,2022-06-20,7,50.78,355.46
ORD5022,CUST1022,PROD222,2022-05-08,6,89.87,539.22
ORD5023,CUST1023,PROD223,2025-11-06,8,52.34,418.72
ORD5024,CUST1024,PROD224,2023-01-29,3,232.67,698.01
ORD5025,CUST1025,PROD225,2022-09-06,5,142.89,714.45
ORD5026,CUST1026,PROD226,2025-05-05,7,44.69,312.83
ORD5027,CUST1027,PROD227,2022-02-25,7,139.3,975.1
ORD5028,CUST1028,PROD228,2025-03-04,8,149.65,1197.2
ORD5029,CUST1029,PROD229,2024-03-22,6,157.1,942.6
ORD5030,CUST1030,PROD230,2021-01-06,9,182.53,1642.77
ORD5031,CUST1031,PROD231,2023-07-22,1,31.95,31.95
ORD5032,CUST1032,PROD232,2021-07-27,2,804.77,1609.54
ORD5033,CUST1033,PROD233,2022-09-25,5,332.38,1661.9
ORD5034,CUST1034,PROD234,2025-04-22,1,1292.65,1292.65
ORD5035,CUST1035,PROD235,2023-11-23,7,36.39,254.73
ORD5036,CUST1036,PROD236,2024-01-14,7,79.19,554.33
ORD5037,CUST1037,PROD237,2023-05-16,4,94.06,376.24
ORD5038,CUST1038,PROD238,2023-06-29,2,786.48,1572.96
ORD5039,CUST1039,PROD239,2024-12-13,6,20.55,123.3
ORD5040,CUST1040,PROD240,2025-06-08,5,203.23,1016.15
ORD5041,CUST1041,PROD241,2025-03-28,7,65.07,455.49
ORD5042,CUST1042,PROD242,2025-03-15,1,1954.64,1954.64
ORD5043,CUST1043,PROD243,2024-05-28,7,18.98,132.86
ORD5044,CUST1044,PROD244,2023-11-12,3,654.56,1963.68
ORD5045,CUST1045,PROD245,2022-05-22,5,334.17,1670.85
ORD5046,CUST1046,PROD246,2025-01-14,5,219.75,1098.75
ORD5047,CUST1047,PROD247,2022-09-07,7,223.05,1561.35
