product_id,product_name,category,unit_price
PROD200,Football,Sports,78.21
PROD201,Refrigerator,Home,64.02
PROD202,Hoodie,Clothing,604.14
PROD203,Conditioner,Beauty,84.66
PROD204,Smartwatch,Electronics,62.66
PROD205,Hoodie,Clothing,221.61
PROD206,Tablet,Electronics,175.74
PROD207,Jacket,Clothing,9.56
PROD208,Nail Polish,Beauty,1525.8
PROD209,Camera,Electronics,337.24
PROD210,Dumbbells,Sports,203.05
PROD211,Headphones,Electronics,940.17
PROD212,Vacuum Cleaner,Home,168.79
PROD213,Perfume,Beauty,236.77
PROD214,Cycling Helmet,Sports,130.32
PROD215,Face Wash,Beauty,333.99
PROD216,Football,Sports,1875.08
PROD217,Cricket Bat,Sports,211.24
PROD218,Sneakers,Clothing,1702.39
PROD219,Refrigerator,Home,199.58
PROD220,Cricket Bat,Sports,242.03
PROD221,Dress,Clothing,50.78
PROD222,Smartphone,Electronics,89.87
PROD223,Camera,Electronics,52.34
PROD224,Lipstick,Beauty,232.67
PROD225,Sneakers,Clothing,142.89
PROD226,T-Shirt,Clothing,44.69
PROD227,Tennis Racket,Sports,139.3
PROD228,Sofa,Home,149.65
PROD229,Laptop,Electronics,157.1
PROD230,Basketball,Sports,182.53
PROD231,Dress,Clothing,31.95
PROD232,Cycling Helmet,Sports,804.77
PROD233,Shirt,Clothing,332.38
PROD234,Cricket Bat,Sports,1292.65
PROD235,Tablet,Electronics,36.39
PROD236,Camera,Electronics,79.19
PROD237,Blender,Home,94.06
PROD238,Basketball,Sports,786.48
PROD239,Sneakers,Clothing,20.55
PROD240,Sneakers,Clothing,203.23
PROD241,Dumbbells,Sports,65.07
PROD242,Cricket Bat,Sports,1954.64
PROD243,Smartphone,Electronics,18.98
PROD244,Football,Sports,654.56
PROD245,Headphones,Electronics,334.17
PROD246,Jacket,Clothing,219.75
PROD247,Lamp,Home,223.05
PROD248,Headphones,Electronics,149.88
PROD249,Bluetooth Speaker,Electronics,165.27
PROD250,Gaming Console,Electronics,222.62
PROD251,Bluetooth Speaker,Electronics,45.17
PROD252,Basketball,Sports,136.95
PROD253,Nail Polish,Beauty,323.04
PROD254,Smartphone,Electronics,104.0
PROD255,Lamp,Home,251.6
PROD256,Shirt,Clothing,472.04
PROD257,Tennis Racket,Sports,21.85
PROD258,Jeans,Clothing,295.22
PROD259,Running Shoes,Sports,362.26
PROD260,Cycling Helmet,Sports,286.73
PROD261,Smartphone,Electronics,34.68
PROD262,Sneakers,Clothing,370.97
PROD263,Camera,Electronics,841.95
PROD264,Sofa,Home,1795.65
PROD265,Smartwatch,Electronics,459.56
PROD266,Hoodie,Clothing,193.86
PROD267,Cycling Helmet,Sports,180.63
PROD268,Lipstick,Beauty,1217.67
PROD269,Smartwatch,Electronics,262.1
PROD270,Jeans,Clothing,466.13
PROD271,Laptop,Electronics,365.16
PROD272,Bluetooth Speaker,Electronics,24.08
PROD273,Sofa,Home,167.47
PROD274,Bluetooth Speaker,Electronics,44.36
PROD275,Dumbbells,Sports,157.7
PROD276,Blender,Home,244.5
PROD277,Tablet,Electronics,1519.11
PROD278,Face Wash,Beauty,160.26
PROD279,Foundation,Beauty,154.0
PROD280,Perfume,Beauty,119.16
PROD281,Refrigerator,Home,68.21
PROD282,Headphones,Electronics,112.63
PROD283,Basketball,Sports,269.36
PROD284,Dress,Clothing,1032.49
PROD285,Tablet,Electronics,253.07
PROD286,Laptop,Electronics,189.41
PROD287,Refrigerator,Home,1495.51
PROD288,Gaming Console,Electronics,384.7
PROD289,Sofa,Home,256.4
PROD290,Chair,Home,289.7
PROD291,Dining Table,Home,27.0
PROD292,Moisturizer,Beauty,279.83
PROD293,Headphones,Electronics,290.29
PROD294,Yoga Mat,Sports,259.26
PROD295,Gaming Console,Electronics,159.25
PROD296,Tennis Racket,Sports,62.41
PROD297,Smartwatch,Electronics,107.73
PROD298,T-Shirt,Clothing,556.57
PROD299,Headphones,Electronics,990.57
PROD300,Nail Polish,Beauty,140.71
PROD301,Yoga Mat,Sports,38.59
PROD302,Moisturizer,Beauty,196.79
PROD303,Basketball,Sports,84.34
PROD304,Foundation,Beauty,760.96
PROD305,Smartphone,Electronics,716.3
PROD306,Chair,Home,396.36
PROD307,Cycling Helmet,Sports,805.84
PROD308,Vacuum Cleaner,Home,107.67
PROD309,Perfume,Beauty,233.34
PROD310,Perfume,Beauty,353.8
PROD311,Jeans,Clothing,221.28
PROD312,Lipstick,Beauty,247.78
PROD313,Yoga Mat,Sports,1810.76
PROD314,Sofa,Home,164.62
PROD315,Tablet,Electronics,57.48
PROD316,Vacuum Cleaner,Home,431.26
PROD317,Dress,Clothing,205.69
PROD318,Hoodie,Clothing,338.72
PROD319,Lipstick,Beauty,174.49
PROD320,Tablet,Electronics,102.01
PROD321,Shirt,Clothing,389.99
PROD322,Face Wash,Beauty,21.57
PROD323,Gaming Console,Electronics,649.18
PROD324,Running Shoes,Sports,964.88
PROD325,Lamp,Home,201.06
PROD326,Smartwatch,Electronics,178.81
PROD327,Headphones,Electronics,167.69
PROD328,Bluetooth Speaker,Electronics,19.56
PROD329,Shampoo,Beauty,170.27
PROD330,Smartwatch,Electronics,968.05
PROD331,Tablet,Electronics,184.34
PROD332,Skirt,Clothing,332.14
PROD333,Tennis Racket,Sports,42.65
PROD334,Cycling Helmet,Sports,21.3
PROD335,Microwave,Home,111.78
PROD336,Face Wash,Beauty,103.26
PROD337,Headphones,Electronics,5.48
PROD338,Cycling Helmet,Sports,151.96
PROD339,Sneakers,Clothing,152.78
PROD340,Cycling Helmet,Sports,179.86
PROD341,Sneakers,Clothing,218.72
PROD342,T-Shirt,Clothing,177.72
PROD343,Conditioner,Beauty,224.37
PROD344,Dress,Clothing,283.6
PROD345,Skirt,Clothing,167.0
PROD346,Jeans,Clothing,121.06
PROD347,Headphones,Electronics,433.59
PROD348,Lamp,Home,230.28
PROD349,Nail Polish,Beauty,8.24
PROD350,Shirt,Clothing,634.46
PROD351,Nail Polish,Beauty,156.77
PROD352,Microwave,Home,172.17
PROD353,Jacket,Clothing,1308.29
PROD354,Face Wash,Beauty,773.0
PROD355,Sneakers,Clothing,37.35
PROD356,Jacket,Clothing,210.51
PROD357,Hoodie,Clothing,184.94
PROD358,Lamp,Home,34.88
PROD359,Foundation,Beauty,23.82
PROD360,Yoga Mat,Sports,241.3
PROD361,Tennis Racket,Sports,292.25
PROD362,Blender,Home,139.58
PROD363,Running Shoes,Sports,400.08
PROD364,Vacuum Cleaner,Home,901.2
PROD365,Blender,Home,597.67
PROD366,Running Shoes,Sports,77.76
PROD367,Cricket Bat,Sports,15.8
PROD368,Running Shoes,Sports,151.98
PROD369,Shirt,Clothing,35.32
PROD370,Basketball,Sports,161.03
PROD371,Sneakers,Clothing,621.17
PROD372,Skirt,Clothing,261.65
PROD373,Lamp,Home,332.86
PROD374,Shampoo,Beauty,68.45
PROD375,Smartphone,Electronics,274.96
PROD376,Bluetooth Speaker,Electronics,859.4
PROD377,Cricket Bat,Sports,103.64
PROD378,Perfume,Beauty,993.48
PROD379,Lipstick,Beauty,348.34
PROD380,Microwave,Home,18.7
PROD381,T-Shirt,Clothing,1543.22
PROD382,Headphones,Electronics,183.2
PROD383,Smartwatch,Electronics,215.88
PROD384,Running Shoes,Sports,1071.13
PROD385,Cricket Bat,Sports,22.07
PROD386,Jacket,Clothing,200.21
PROD387,Tennis Racket,Sports,678.67
PROD388,Microwave,Home,689.37
PROD389,Skirt,Clothing,180.98
PROD390,Camera,Electronics,148.34
PROD391,Bluetooth Speaker,Electronics,127.83
PROD392,Lipstick,Beauty,187.02
PROD393,T-Shirt,Clothing,175.71
PROD394,Conditioner,Beauty,39.74
PROD395,Dumbbells,Sports,199.73
PROD396,Jeans,Clothing,30.76
PROD397,Headphones,Electronics,429.25
PROD398,Shirt,Clothing,122.72
PROD399,Hoodie,Clothing,504.16
PROD400,Shampoo,Beauty,483.12
PROD401,Shirt,Clothing,138.92
PROD402,Vacuum Cleaner,Home,299.78
PROD403,Dress,Clothing,296.68
PROD404,Bluetooth Speaker,Electronics,63.16
PROD405,Headphones,Electronics,1484.8
PROD406,Yoga Mat,Sports,263.02
PROD407,Vacuum Cleaner,Home,1212.26
PROD408,Shirt,Clothing,1790.4
PROD409,Sneakers,Clothing,582.62
PROD410,Moisturizer,Beauty,181.32
PROD411,Cricket Bat,Sports,174.87
PROD412,Refrigerator,Home,462.9
PROD413,Headphones,Electronics,490.01
PROD414,Chair,Home,1068.34
PROD415,Smartphone,Electronics,151.03
PROD416,Refrigerator,Home,152.35
PROD417,Lipstick,Beauty,277.17
PROD418,Moisturizer,Beauty,90.95
PROD419,Cricket Bat,Sports,813.9
PROD420,Shampoo,Beauty,262.87
PROD421,Running Shoes,Sports,173.2
PROD422,Perfume,Beauty,398.18
PROD423,Moisturizer,Beauty,211.82
PROD424,Dumbbells,Sports,255.77
PROD425,Dumbbells,Sports,63.52
PROD426,Cricket Bat,Sports,317.31
PROD427,Cycling Helmet,Sports,436.16
PROD428,Cycling Helmet,Sports,366.64
PROD429,Shirt,Clothing,347.76
PROD430,Basketball,Sports,220.93
PROD431,Sofa,Home,1331.03
PROD432,Chair,Home,134.4
PROD433,Sofa,Home,133.25
PROD434,Cycling Helmet,Sports,210.26
PROD435,Vacuum Cleaner,Home,80.21
PROD436,T-Shirt,Clothing,133.84
PROD437,Perfume,Beauty,286.69
PROD438,Smartphone,Electronics,55.18
PROD439,Tennis Racket,Sports,25.75
PROD440,Lamp,Home,7.42
PROD441,Jeans,Clothing,430.28
PROD442,Bluetooth Speaker,Electronics,307.95
PROD443,Lipstick,Beauty,235.7
PROD444,Cycling Helmet,Sports,174.95
PROD445,Conditioner,Beauty,232.39
PROD446,Vacuum Cleaner,Home,266.75
PROD447,Gaming Console,Electronics,32.82
PROD448,Conditioner,Beauty,597.36
PROD449,Conditioner,Beauty,147.45
PROD450,Running Shoes,Sports,91.92
PROD451,Skirt,Clothing,89.68
PROD452,Blender,Home,269.62
PROD453,Jeans,Clothing,214.01
PROD454,Headphones,Electronics,368.2
PROD455,Cricket Bat,Sports,560.24
PROD456,Dumbbells,Sports,262.89
PROD457,Football,Sports,113.52
PROD458,Dining Table,Home,78.71
PROD459,Smartphone,Electronics,283.52
PROD460,Headphones,Electronics,174.45
PROD461,Skirt,Clothing,165.34
PROD462,Conditioner,Beauty,274.67
PROD463,Smartwatch,Electronics,73.91
PROD464,Foundation,Beauty,330.52
PROD465,Lipstick,Beauty,1865.18
PROD466,Skirt,Clothing,1624.53
PROD467,Lamp,Home,222.38
PROD468,Jeans,Clothing,190.6
PROD469,Blender,Home,157.4
PROD470,Dress,Clothing,97.56
PROD471,Skirt,Clothing,43.76
PROD472,Vacuum Cleaner,Home,238.3
PROD473,Moisturizer,Beauty,247.28
PROD474,Dining Table,Home,341.04
PROD475,Moisturizer,Beauty,730.44
PROD476,Headphones,Electronics,14.55
PROD477,Dining Table,Home,224.89
PROD478,Bluetooth Speaker,Electronics,244.49
PROD479,Running Shoes,Sports,284.09
PROD480,Bluetooth Speaker,Electronics,239.57
PROD481,Yoga Mat,Sports,102.62
PROD482,Headphones,Electronics,26.61
PROD483,Camera,Electronics,281.71
PROD484,Hoodie,Clothing,498.41
PROD485,Jacket,Clothing,150.77
PROD486,Jacket,Clothing,112.52
PROD487,Vacuum Cleaner,Home,194.81
PROD488,Perfume,Beauty,209.41
PROD489,Shampoo,Beauty,494.41
PROD490,Lamp,Home,187.03
PROD491,Football,Sports,314.88
PROD492,Laptop,Electronics,233.87
PROD493,Cycling Helmet,Sports,171.07
PROD494,Moisturizer,Beauty,155.44
PROD495,Shampoo,Beauty,789.5
PROD496,Smartwatch,Electronics,232.75
PROD497,Dress,Clothing,1786.22
PROD498,T-Shirt,Clothing,216.99
PROD499,Camera,Electronics,10.88
PROD500,Conditioner,Beauty,1226.18
PROD501,Sofa,Home,460.02
PROD502,Cricket Bat,Sports,217.3
PROD503,Gaming Console,Electronics,120.62
PROD504,Smartwatch,Electronics,90.23
PROD505,Smartwatch,Electronics,737.62
PROD506,Smartphone,Electronics,658.94
PROD507,Face Wash,Beauty,121.19
PROD508,Dumbbells,Sports,583.41
PROD509,Cricket Bat,Sports,242.39
PROD510,Camera,Electronics,84.73
PROD511,Cricket Bat,Sports,399.32
PROD512,Microwave,Home,96.56
PROD513,Shirt,Clothing,211.81
PROD514,Smartwatch,Electronics,227.67
PROD515,Perfume,Beauty,65.36
PROD516,Nail Polish,Beauty,51.02
PROD517,Blender,Home,462.3
PROD518,Perfume,Beauty,126.46
PROD519,Dining Table,Home,65.2
PROD520,Cricket Bat,Sports,116.64
PROD521,Microwave,Home,140.63
PROD522,Bluetooth Speaker,Electronics,152.53
PROD523,Dumbbells,Sports,285.44
PROD524,Perfume,Beauty,136.3
PROD525,Gaming Console,Electronics,556.7
PROD526,Jeans,Clothing,231.25
PROD527,Shampoo,Beauty,105.05
PROD528,Smartwatch,Electronics,11.73
PROD529,Basketball,Sports,230.61
PROD530,Tablet,Electronics,188.23
PROD531,Vacuum Cleaner,Home,28.65
PROD532,Smartwatch,Electronics,175.42
PROD533,Foundation,Beauty,180.09
PROD534,Blender,Home,284.73
PROD535,Basketball,Sports,231.43
PROD536,Cricket Bat,Sports,137.29
PROD537,Shirt,Clothing,210.01
PROD538,Gaming Console,Electronics,348.76
PROD539,Laptop,Electronics,219.21
PROD540,Vacuum Cleaner,Home,104.03
PROD541,Face Wash,Beauty,360.74
PROD542,Blender,Home,208.01
PROD543,Camera,Electronics,235.36
PROD544,Conditioner,Beauty,6.45
PROD545,Laptop,Electronics,205.55
PROD546,Smartwatch,Electronics,224.15
PROD547,Blender,Home,115.98
PROD548,Laptop,Electronics,26.33
PROD549,Basketball,Sports,172.3
PROD550,Blender,Home,374.37
PROD551,Jeans,Clothing,296.71
PROD552,Skirt,Clothing,575.92
PROD553,Tablet,Electronics,214.73
PROD554,Dining Table,Home,416.03
PROD555,Football,Sports,219.47
PROD556,Lipstick,Beauty,34.42
PROD557,Blender,Home,128.99
PROD558,Dress,Clothing,148.19
PROD559,Running Shoes,Sports,343.33
PROD560,Sneakers,Clothing,146.28
PROD561,Sneakers,Clothing,165.06
PROD562,Vacuum Cleaner,Home,222.3
PROD563,Vacuum Cleaner,Home,662.89
PROD564,Shampoo,Beauty,134.18
PROD565,Camera,Electronics,57.06
PROD566,Smartphone,Electronics,668.04
PROD567,Lamp,Home,348.12
PROD568,Skirt,Clothing,76.13
PROD569,Sneakers,Clothing,89.75
PROD570,Basketball,Sports,390.53
PROD571,Vacuum Cleaner,Home,725.84
PROD572,Camera,Electronics,604.52
PROD573,Dumbbells,Sports,316.46
PROD574,Microwave,Home,75.21
PROD575,Face Wash,Beauty,399.54
PROD576,T-Shirt,Clothing,12.03
PROD577,Dining Table,Home,54.72
PROD578,Tablet,Electronics,122.74
PROD579,Headphones,Electronics,23.7
PROD580,Refrigerator,Home,181.5
PROD581,Conditioner,Beauty,195.6
PROD582,Lipstick,Beauty,107.92
PROD583,Camera,Electronics,577.66
PROD584,Basketball,Sports,81.15
PROD585,Gaming Console,Electronics,68.54
PROD586,Running Shoes,Sports,193.43
PROD587,Blender,Home,276.7
PROD588,Basketball,Sports,51.83
PROD589,Vacuum Cleaner,Home,133.73
PROD590,Smartphone,Electronics,52.44
PROD591,Cricket Bat,Sports,1499.71
PROD592,Foundation,Beauty,562.84
PROD593,Lamp,Home,1366.86
PROD594,Smartphone,Electronics,290.28
PROD595,Dumbbells,Sports,134.53
PROD596,Dumbbells,Sports,434.16
PROD597,Perfume,Beauty,44.89
PROD598,Face Wash,Beauty,158.19
PROD599,Yoga Mat,Sports,130.46
PROD600,Gaming Console,Electronics,90.5
PROD601,Sneakers,Clothing,132.55
PROD602,Laptop,Electronics,315.0
PROD603,Microwave,Home,19.5
PROD604,Headphones,Electronics,74.49
PROD605,Skirt,Clothing,539.41
PROD606,T-Shirt,Clothing,101.02
PROD607,Lipstick,Beauty,1263.8
PROD608,Face Wash,Beauty,643.24
PROD609,Lamp,Home,217.29
PROD610,Moisturizer,Beauty,94.79
PROD611,Tablet,Electronics,305.8
PROD612,Headphones,Electronics,41.08
PROD613,Tennis Racket,Sports,155.84
PROD614,Jacket,Clothing,410.16
PROD615,Sneakers,Clothing,350.48
PROD616,Face Wash,Beauty,216.64
PROD617,Perfume,Beauty,75.2
PROD618,Shampoo,Beauty,17.09
PROD619,Sneakers,Clothing,4.22
PROD620,Lipstick,Beauty,89.67
PROD621,Vacuum Cleaner,Home,57.72
PROD622,Jacket,Clothing,288.26
PROD623,Skirt,Clothing,37.13
PROD624,Smartphone,Electronics,1799.69
PROD625,Headphones,Electronics,367.19
PROD626,Shirt,Clothing,174.1
PROD627,Laptop,Electronics,208.23
PROD628,Conditioner,Beauty,106.21
PROD629,Moisturizer,Beauty,93.51
PROD630,Basketball,Sports,409.61
PROD631,Moisturizer,Beauty,397.5
PROD632,Shirt,Clothing,65.33
PROD633,Dumbbells,Sports,83.72
PROD634,Chair,Home,368.73
PROD635,Sneakers,Clothing,148.77
PROD636,Shampoo,Beauty,302.58
PROD637,Skirt,Clothing,34.76
PROD638,Moisturizer,Beauty,347.58
PROD639,Dining Table,Home,43.74
PROD640,Skirt,Clothing,123.64
